t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,flags
993336631.995,993336640.995,993336636.87,993336633.14,993336640.985,25.3122193243,2.49359336093,5.21431718081e-15,5.13680232351e-16,16.5716744378,0.102013419765,0.112601838282,24.9797265045,2.50654399372,5.14582365992e-15,5.16348062706e-16,16.5860308022,0.103820342651,0.114807750693,28.6197015902,2.36090154822,5.89565852758e-15,4.86345718933e-16,16.4383372471,0.0860619182139,0.0934755627125,134.0,146.951643785,10.0,9.22517320913,5.13463228545,16.9827052259,18.6899335933,0.911945531232,96.6673278809,440.121795654,305.974620617,301.5634876,44.4565441707,32.0
993336640.995,993336649.995,993336645.709,993336641.115,993336649.96,22.6950411004,2.29144090578,4.67517846668e-15,4.72036826591e-16,16.690172566,0.104435349936,0.115560421428,22.8792136869,2.28447623124,4.71311801951e-15,4.70602103636e-16,16.6813972636,0.103333075933,0.114212086632,26.5191887727,2.14218568466,5.46295288717e-15,4.4129025104e-16,16.521099413,0.0843419459735,0.0914498060932,140.0,153.252032841,13.0,12.0046173497,5.77891104267,22.099409212,21.0350922179,0.913646654351,97.7065582275,439.310943604,304.83876923,301.563928864,44.4565733691,32.0
993336649.995,993336658.995,993336654.573,993336650.005,993336658.965,30.383563402,2.56405161453,6.2590140608e-15,5.28194632593e-16,16.3734032329,0.0879631897774,0.0957230066451,30.553089151,2.55832622978,6.29393636511e-15,5.27015203335e-16,16.3673621818,0.0873065455281,0.0949458333706,34.1930642367,2.4321441909,7.04377123276e-15,5.01021703325e-16,16.2451549446,0.0746052067528,0.0801123691084,182.0,197.650267685,13.0,11.9617608504,5.78041986283,22.0205142927,21.0405842857,0.920950349768,97.9807891846,438.47869873,304.460529392,301.563734916,44.4563549311,32.0
993336658.995,993336667.995,993336663.851,993336659.04,993336667.92,26.1371294632,2.24217212394,5.38424866943e-15,4.61887457533e-16,16.5368552774,0.0893595356546,0.0973790738468,23.9695424586,2.32422947109,4.93772574648e-15,4.78791271044e-16,16.6308506397,0.100482868674,0.110739685215,27.6095175443,2.18467544475,5.68756061414e-15,4.50043141617e-16,16.4773529557,0.0826820220163,0.0895013832683,148.0,159.714292062,5.0,4.62673807067,5.78475490583,8.51740417555,21.0563637342,0.926744546922,97.4735565186,437.893066406,304.890363061,301.563759999,44.4566770098,32.0
993336667.995,993336676.995,993336672.745,993336668.06,993336676.95,22.4019925834,2.23302751432,4.61481047219e-15,4.60003667951e-16,16.7042833772,0.103165679505,0.114007588252,21.9881964546,2.24898228138,4.52956846964e-15,4.63290349964e-16,16.7245259787,0.105731142529,0.11714937328,25.6281715403,2.10449178088,5.2794033373e-15,4.33525306862e-16,16.5582059444,0.0856848925898,0.0930309094089,137.0,148.299872145,11.0,10.1409645863,5.78659589162,18.6685938975,21.0630648766,0.923854695779,96.6985092163,437.356292725,305.593335853,301.563679539,44.456460353,32.0
993336676.995,993336685.995,993336681.634,993336677.01,993336685.935,26.4217044712,2.48558058997,5.44287112107e-15,5.12029601533e-16,16.5250979234,0.0976161862864,0.107267516892,27.4648098648,2.44908923467,5.65775083215e-15,5.04512382343e-16,16.483058508,0.0927410690691,0.101408946613,31.1047849505,2.3172535308,6.40758569981e-15,4.77354227345e-16,16.3479319922,0.0780143295201,0.084056945315,167.0,180.180298087,16.0,14.7359919914,5.79268747153,27.1276216205,21.0852380757,0.926920895695,95.6147384644,437.390716553,306.673202488,301.563893554,44.456451672,32.0
993336685.995,993336694.995,993336690.312,993336685.995,993336694.99,25.2338226248,2.29198469522,5.19816746072e-15,4.72148847216e-16,16.5750423851,0.0943925488405,0.103387096395,24.2288270847,2.32943526597,4.99113837945e-15,4.7986366479e-16,16.6191690238,0.0996681654802,0.109750841344,27.8688021704,2.19075606354,5.7409732471e-15,4.5129574909e-16,16.4672042433,0.0821607276412,0.0888908209073,151.0,161.826097318,9.0,8.31141875158,5.80671161713,15.3005663381,21.1362856163,0.933190381828,94.7953872681,438.054840088,307.567921746,301.563782724,44.4566383031,32.0
993336694.995,993336703.995,993336699.85,993336695.005,993336703.98,23.9380242493,2.28532265524,4.93123299535e-15,4.70776466979e-16,16.6322792435,0.0989995440552,0.108940529659,23.4892462057,2.30217327079,4.83878471838e-15,4.74247693783e-16,16.6528272999,0.101515412305,0.111995296057,27.1292212914,2.16171578848,5.58861958604e-15,4.45313452427e-16,16.4964066798,0.0832398445666,0.0901554345513,146.0,157.498879038,11.0,10.0637865614,5.80550681297,18.5265161699,21.1319001592,0.927167400266,94.146736145,439.041168213,308.334934489,301.56359015,44.4567638366,32.0
993336703.995,993336712.995,993336708.189,993336704.05,993336712.79,24.3208696765,2.38844464955,5.01009915336e-15,4.92019597808e-16,16.6150522486,0.101709096264,0.112231117796,25.0637416913,2.36147930106,5.1631307884e-15,4.86464736019e-16,16.5823852349,0.0977605744445,0.10744191783,28.703716777,2.22463320834,5.91296565606e-15,4.58274440918e-16,16.4351546596,0.0810465376022,0.0875879647354,153.0,166.478993104,15.0,13.808461142,5.79991066655,25.4201216477,21.1115303256,0.919171287626,93.5507049561,439.929138184,309.039652001,301.563799325,44.4566201432,32.0
993336748.995,993336757.995,993336756.065,993336754.02,993336757.975,28.7324099168,3.62474492487,5.91887644286e-15,7.46697454523e-16,16.4340698656,0.128995683583,0.146414321174,27.724498771,3.67808471327,5.71124674683e-15,7.57685450933e-16,16.4728407417,0.135254188866,0.154533455795,31.3644738567,3.4816018813,6.46108161449e-15,7.17209987548e-16,16.3389049835,0.114289674105,0.127751254769,75.0,81.1554698534,4.0,3.69950724984,2.58749661238,6.81045652812,9.41842320344,0.924233791517,92.0918731689,423.495697021,308.803274508,301.563794306,44.4568387911,36.0
